name,address,lng,lat
금병초등학교,강원도 춘천시 신동면 김유정로 1394,127.714444,37.815166
금산초등학교,강원도 춘천시 서면 금산2길 21,127.699587,37.9032493
당림초등학교,강원도 춘천시 서면 당숲안길 81,127.607843,37.83763
서상초등학교,강원도 춘천시 서면 박사로 1348,127.707289,37.9289032
조양초등학교,강원도 춘천시 동산면 조양길 257,127.795621,37.7512003
다문초등학교,경기도 양평군 용문면 다문중앙2길 27,127.591646,37.4857915
대전봉산초등학교,대전광역시 서구 신갈마로141번길 45(갈마동),127.365267,36.3453547
대전선암초등학교,대전광역시 서구 관저중로 61(관저동),127.333535,36.2971614
대전구봉초등학교,대전광역시 서구 관저로 75(관저동),127.329404,36.2995259
대전금동초등학교,대전광역시 서구 관저로 45(관저동),127.325577,36.2980967
대전관저초등학교,대전광역시 서구 관저동로 161(관저동),127.339334,36.3062177
대전느리울초등학교,대전광역시 서구 관저로 196(관저동),127.343483,36.2982387
대전도마초등학교,대전광역시 서구 배재로172번길 23(도마동),127.371193,36.324416
대전유천초등학교,대전광역시 서구 제비네6길 69(도마동),127.37518,36.3148101
대전둔산초등학교,대전광역시 서구 둔산로74번길 20(둔산동),127.380881,36.3499295
한밭초등학교,대전광역시 서구 문정로 221(둔산동),127.393991,36.353948
대전만년초등학교,대전광역시 서구 만년남로 14(만년동),127.376825,36.3665863
대전둔천초등학교,대전광역시 서구 만년로 3(만년동),127.373607,36.3680343
대전서부초등학교,대전광역시 서구 동서대로 968(변동),127.368975,36.3330337
대전복수초등학교,대전광역시 서구 복수중로34번길 29(복수동),127.376687,36.307763
대전문정초등학교,대전광역시 서구 문정로 180(둔산동),127.395442,36.3504964
대전삼천초등학교,대전광역시 서구 둔산북로 232-33(둔산동),127.400439,36.3540132
대전성천초등학교,대전광역시 서구 갈마역로 139(월평동),127.373107,36.3626823
대전성룡초등학교,대전광역시 서구 갈마역로 125(월평동),127.373018,36.3614641
대전정림초등학교,대전광역시 서구 정림로 32(정림동),127.366145,36.3031283
대전신계초등학교,대전광역시 서구 복수동로 26(복수동),127.377872,36.3017349
대전삼육초등학교,대전광역시 서구 도림1길 15(도마동),127.372585,36.3116739
대전상원초등학교,대전광역시 유성구 상대서로 46(상대동),127.332975,36.3425014
중남초등학교,울산광역시 울주군 삼남면 사촌신복로 572,129.108236,35.5365503
성신초등학교,경기도 고양시 덕양구 성신로 104(행신동),126.840305,37.6265954
행신초등학교,경기도 고양시 덕양구 중앙로 527(행신동),126.836993,37.6217063
대곡초등학교,경기도 고양시 덕양구 대주로 138-50(대장동),126.812615,37.6410069
백양초등학교,경기도 고양시 덕양구 화신로 238(화정동),126.836101,37.6317619
지도초등학교,경기도 고양시 덕양구 성신로 49(화정동),126.833917,37.6279291
고양화수초등학교,경기도 고양시 덕양구 화수로 25(화정동),126.832731,37.6451448
화중초등학교,경기도 고양시 덕양구 화중로152번길 43(화정동),126.835998,37.6405369
고양화정초등학교,경기도 고양시 덕양구 화신로 333(화정동),126.826111,37.6337354
용정초등학교,경기도 고양시 덕양구 은빛로17번길 53(화정동),126.829577,37.6402842
고양초등학교,경기도 고양시 덕양구 혜음로13번길 22-7(고양동),126.899934,37.7030317
목암초등학교,경기도 고양시 덕양구 푸른마을로 63(고양동),126.90466,37.714005
성라초등학교,경기도 고양시 덕양구 호국로716번길 13-19(성사동),126.833651,37.6523492
내유초등학교,경기도 고양시 덕양구 통일로 1132(내유동),126.851857,37.7153948
고양관산초등학교,경기도 고양시 덕양구 통일로726번길 130(관산동),126.866547,37.6919217
성사초등학교,경기도 고양시 덕양구 호국로834번길 89(성사동),126.844305,37.6576405
토당초등학교,경기도 고양시 덕양구 행신로 90(토당동),126.826301,37.6172937
소만초등학교,경기도 고양시 덕양구 화신로 48(행신동),126.839755,37.6174786
가람초등학교,경기도 고양시 덕양구 행신로311번길 78(행신동),126.842189,37.6233972
남양주덕송초등학교,경기도 남양주시 별내3로 356(별내동),127.115854,37.6693466
가운초등학교,경기도 남양주시 가운로2길 54(가운동),127.155796,37.6007077
금교초등학교,경기도 남양주시 미금로 194(도농동),127.161469,37.6139033
구룡초등학교,경기도 남양주시 늘을3로 120(호평동),127.252628,37.6581346
이동초등학교,경기도 포천시 이동면 화동로 2034,127.368476,38.028608
청성초등학교,경기도 포천시 군내면 솔밭길 12-1,127.223374,37.874679
영중초등학교,경기도 포천시 영중면 호국로 3054,127.248403,38.0146045
금주초등학교,경기도 포천시 영중면 궁들길 50,127.260534,37.9734698
영북초등학교,경기도 포천시 영북면 영북로148번길 46,127.276311,38.0904351
왕방초등학교,경기도 포천시 학동로 52(신읍동),127.202334,37.9042268
외북초등학교,경기도 포천시 신북면 포천로 2199,127.187484,37.9465626
신북초등학교,경기도 포천시 신북면 청신로 2079-19,127.220236,37.9383955
창수초등학교,경기도 포천시 창수면 옥수로58번길 4,127.181965,37.9897631
관인초등학교,경기도 포천시 관인면 관인로 5,127.251148,38.1567607
포천삼정초등학교,경기도 포천시 신북면 청신로947번길 17,127.131459,37.9640567
중리초등학교,경기도 포천시 관인면 창동로1071번길 21-52,127.204429,38.1055942
가평마장초등학교,경기도 가평군 가평읍 각담말길 15,127.514601,37.8600748
상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,127.485061,37.8052976
대성초등학교,경기도 가평군 청평면 경춘로 75,127.377715,37.682755
상천초등학교,경기도 가평군 청평면 상천역로19번길 38,127.456233,37.7703749
청평초등학교,경기도 가평군 유명로 2285 이투스학원,127.421886,37.7377012
연하초등학교,경기도 가평군 상면 비룡로 2199-19,127.342505,37.8031925
상면초등학교,경기도 가평군 상면 청군로 700-22,127.371138,37.7760635
조종초등학교,경기도 가평군 하면 조종새싹로 13-9,127.349092,37.8213646
목동초등학교,경기도 가평군 북면 석장모루길 13,127.549282,37.8799032
조현초등학교,경기도 양평군 용문면 중원산로 157,127.616134,37.5225264
양평단월초등학교,경기도 양평군 단월면 보룡길 65,127.672681,37.5393241
청운초등학교,경기도 양평군 청운면 용두로156번길 30,127.713385,37.5545705
곡수초등학교,경기도 양평군 지평면 곡수길56번길 17,127.611489,37.4183557
지평초등학교,경기도 양평군 지평면 지평의병로 107,127.637737,37.4756212
양동초등학교,경기도 양평군 양동면 양동로 1671,127.749885,37.4304294
개군초등학교,경기도 양평군 개군면 자진개1길 23,127.534347,37.4278354
강상초등학교,경기도 양평군 강상면 신화길 86,127.479153,37.4735728
세월초등학교,경기도 양평군 강상면 세월길147번길 2,127.494659,37.4364668
강하초등학교,경기도 양평군 강하면 운심길 33,127.409441,37.4963562
수입초등학교,경기도 양평군 서종면 무드리2길 20,127.375311,37.6448297
정배초등학교,경기도 양평군 서종면 명덕길 10,127.422961,37.6028528
양동초등학교고송분교장,경기도 양평군 양동면 고송길 32-16,127.699916,37.48657
모당초등학교,경기도 고양시 일산동구 하늘마을로 144(중산동),126.781303,37.6795306
하늘초등학교,경기도 고양시 일산동구 하늘마을1로 46(중산동),126.790137,37.6772518
풍산초등학교,경기도 고양시 일산동구 숲속마을로 51(풍동),126.796966,37.6663923
다솜초등학교,경기도 고양시 일산동구 숲속마을로 139(풍동),126.796664,37.6725071
풍동초등학교,경기도 고양시 일산동구 숲속마을로 14-43(풍동),126.802608,37.669396
고양백석초등학교,경기도 고양시 일산동구 강촌로 140(백석동),126.78928,37.6517894
새금초등학교,경기도 파주시 후곡로 104(금촌동),126.773168,37.7480758
저동초등학교,경기도 고양시 일산동구 대산로11번길 37(정발산동),126.774228,37.6678704
성석초등학교,경기도 고양시 일산동구 문봉길 110(문봉동),126.812218,37.7072274
백마초등학교,경기도 고양시 일산동구 일산로 230(마두동),126.791081,37.6574752
어룡초등학교,경기도 의정부시 부용로 241(용현동),127.082246,37.7477216
두서초등학교,울산광역시 울주군 두서면 인보로 87,129.158321,35.6428958
두동초등학교,울산광역시 울주군 두동면 대밀길 29,129.202258,35.654758
청량초등학교,울산광역시 울주군 청량면 덕정5길 14,129.297236,35.4866403
문수초등학교,울산광역시 울주군 청량면 청송길 8,129.240539,35.5191632
삼정초등학교,울산광역시 울주군 청량면 삼정로 36,129.233553,35.4908353
검단초등학교,울산광역시 울주군 웅촌면 은현작동로 58,129.177589,35.4576649
웅촌초등학교,울산광역시 울주군 웅촌면 곡천검단로 4,129.207226,35.4641775
성동초등학교,울산광역시 울주군 서생면 진하길 7,129.341718,35.3854334
명산초등학교,울산광역시 울주군 서생면 화산발리로 60,129.295792,35.3509377
서생초등학교,울산광역시 울주군 서생면 신암해안길 58,129.327071,35.3492421
삼동초등학교,울산광역시 울주군 삼동면 삼동로 788,129.15911,35.5239153
상북초등학교소호분교,울산광역시 울주군 상북면 소호당리길 1,129.086281,35.6705174
곡정초등학교,경기도 수원시 권선구 곡선로 7(권선동),127.02569,37.2408603
선행초등학교,경기도 수원시 권선구 세권로196번길 21(권선동),127.025672,37.2542509
수원중촌초등학교,경기도 수원시 권선구 금곡로140번길 30(금곡동),126.944374,37.2724561
광교초등학교,경기도 수원시 영통구 대학로 91(이의동),127.045839,37.3037928
이의초등학교,경기도 수원시 영통구 법조로150번길 47(하동),127.075458,37.2929807
수성초등학교,경기도 수원시 장안구 금당로 19(조원동),127.014008,37.3055569
송원초등학교,경기도 수원시 장안구 수일로 185(조원동),127.009938,37.3083092
한일초등학교,경기도 수원시 장안구 수일로 150(조원동),127.005405,37.3069114
효천초등학교,경기도 수원시 장안구 천천로21번길 11(정자동),126.986631,37.2932545
야탑초등학교,경기도 성남시 분당구 양현로 400(야탑동),127.125884,37.4163135
덕도초등학교,경기도 양주시 광적면 광적로224번길 122,126.977264,37.8404432
봉암초등학교,경기도 양주시 은현면 삼육사로 473,127.005868,37.9105075
상패초등학교,경기도 양주시 은현면 은현로312번길 121-208,127.026507,37.8978836
은현초등학교,경기도 양주시 은현면 화합로 912-20,127.023078,37.8643435
상수초등학교,경기도 양주시 남면 화합로 503,126.987733,37.8686306
남면초등학교,경기도 양주시 남면 개나리18길 100,126.975062,37.8940365
남면초등학교양덕분교장,경기도 양주시 남면 은남로119번길 373,126.99867,37.9086297
선단초등학교,경기도 포천시 삼육사로2111번길 29(선단동),127.155356,37.8616424
포천초등학교,경기도 포천시 신읍길 40(신읍동),127.197184,37.8967586
이곡초등학교,경기도 포천시 소흘읍 이곡길 5,127.148857,37.7782698
추산초등학교,경기도 포천시 소흘읍 솔모루로3번길 52-20,127.136715,37.8257644
태봉초등학교,경기도 포천시 소흘읍 송선로 8,127.144883,37.8345186
신봉초등학교,경기도 포천시 소흘읍 송우로 98,127.138893,37.8318531
송우초등학교,경기도 포천시 소흘읍 송우로 42,127.143385,37.8295161
축석초등학교,경기도 포천시 소흘읍 무란1길 25,127.122108,37.7881923
유암초등학교,경기도 포천시 가산면 유교로88번길 8,127.192626,37.8684898
정교초등학교,경기도 포천시 가산면 정금로 77,127.169683,37.8152429
내촌초등학교,경기도 포천시 내촌면 내촌로 88,127.23007,37.7868827
지현초등학교,경기도 포천시 화현면 봉화로 926-9,127.264839,37.9285908
화현초등학교,경기도 포천시 화현면 달인동로1길 29,127.284673,37.9018988
일동초등학교,경기도 포천시 일동면 화동로 1019,127.314509,37.9549201
운담초등학교,경기도 포천시 일동면 화동로 1239,127.329557,37.9719185
포천노곡초등학교,경기도 포천시 이동면 성장로869번길 4,127.335389,38.0081356
마전초등학교,경기도 안성시 삼죽면 서동대로 5915,127.34132,37.0306966
삼죽초등학교,경기도 안성시 삼죽면 삼죽초교길 20,127.373702,37.0759917
일죽초등학교,경기도 안성시 일죽면 주래본죽로 72,127.481942,37.0921024
방초초등학교,경기도 안성시 일죽면 사실로 86,127.433534,37.1197988
죽화초등학교,경기도 안성시 일죽면 죽화로 297,127.458334,37.1074878
고삼초등학교,경기도 안성시 고삼면 고삼호수로 37,127.264514,37.0825482
미곡초등학교,경기도 안성시 양성면 안성맞춤대로 2304-9,127.245162,37.1104881
원곡초등학교성은분교장,경기도 안성시 원곡면 통심길 92,127.160074,37.0770979
금광초등학교조령분교장,경기도 안성시 금광면 사흥길 59,127.357958,37.0009596
보개초등학교가율분교장,경기도 안성시 보개면 보개원삼로 649,127.295863,37.0601739
세종초등학교,경기도 여주시 세종로 204-19(교동),127.633757,37.2796966
연라초등학교,경기도 여주시 여주남로 116(월송동),127.611574,37.277869
점봉초등학교,경기도 여주시 세종로 488-4(점봉동),127.644847,37.2569409
여흥초등학교,경기도 여주시 여양로 103(상동),127.643728,37.2936942
여주초등학교,경기도 여주시 청심로 139(창동),127.635979,37.2985007
오학초등학교,경기도 여주시 도예로 117(오학동),127.647397,37.3124123
매류초등학교,경기도 여주시 능서면 양화로 592,127.557437,37.2736696
능서초등학교,경기도 여주시 능서면 마장로 64,127.572094,37.2979453
문장초등학교,경기도 여주시 흥천면 문바실길 20,127.512246,37.3607109
흥천초등학교,경기도 여주시 흥천면 효자로 155,127.541216,37.3323515
이포초등학교,경기도 여주시 금사면 이여로 1237,127.530078,37.3886539
송양초등학교,경기도 의정부시 민락로 349(낙양동),127.111745,37.7528188
민락초등학교,경기도 의정부시 용현로159번길 26(민락동),127.094777,37.7418086
의정부부용초등학교,경기도 의정부시 오목로 83(민락동),127.090886,37.7361653
금릉초등학교,경기도 파주시 후곡로 56(금촌동),126.772939,37.7523441
금신초등학교,경기도 파주시 금신초교길 10(금촌동),126.771811,37.7670547
금향초등학교,경기도 파주시 쇠재로 123(금촌동),126.776942,37.7525118
검산초등학교,경기도 파주시 검산로 10(검산동),126.739458,37.7761017
파주송화초등학교,경기도 파주시 송화로 39(아동동),126.779052,37.7746351
금화초등학교,경기도 파주시 새꽃로 55(금촌동),126.768025,37.755104
금촌초등학교,경기도 파주시 동산3길 38-11(금촌동),126.769753,37.7617985
동패초등학교,경기도 파주시 교하로 272(동패동),126.74001,37.7173897
석곶초등학교,경기도 파주시 책향기로 451(동패동),126.722253,37.7250555
문발초등학교,경기도 파주시 노을빛로 21(문발동),126.706792,37.725698
지산초등학교,경기도 파주시 경의로 1274(와동동),126.761748,37.7313601
한가람초등학교,경기도 파주시 금바위로 87(와동동),126.755863,37.7318838
한빛초등학교,경기도 파주시 미래로408번길 77(야당동),126.750967,37.71465
덕암초등학교,경기도 파주시 조리읍 등원로 199,126.819631,37.7647407
능안초등학교,경기도 파주시 조리읍 능안로 145,126.792829,37.740584
파주대원초등학교,경기도 파주시 조리읍 대원로 30,126.819295,37.7272467
봉일천초등학교,경기도 파주시 조리읍 통일로 333,126.807247,37.7450284
교하초등학교,경기도 파주시 동편길 13(교하동),126.747313,37.7538678
청석초등학교,경기도 파주시 청석로 330(다율동),126.71928,37.731051
가산초등학교,강원도 춘천시 동면 가산로 52,127.782582,37.908693
이매초등학교,경기도 성남시 분당구 양현로 146(이매동),127.125942,37.3967336
성남장안초등학교,경기도 성남시 분당구 장안로51번길 10(분당동),127.144145,37.372132
한솔초등학교,경기도 성남시 분당구 돌마로 303(정자동),127.117857,37.3666226
늘푸른초등학교,경기도 성남시 분당구 정자일로 87(정자동),127.105304,37.3579592
중탑초등학교,경기도 성남시 분당구 벌말로 68(야탑동),127.139471,37.4136197
돌마초등학교,경기도 성남시 분당구 야탑로 96-7(야탑동),127.130025,37.4089552
하탑초등학교,경기도 성남시 분당구 양현로 262(야탑동),127.126252,37.4070081
내정초등학교,경기도 성남시 분당구 내정로174번길 19(수내동),127.122166,37.372818
성남정자초등학교,경기도 성남시 분당구 분당수서로 442(정자동),127.105082,37.3738436
수내초등학교,경기도 성남시 분당구 백현로243번길 12(수내동),127.124282,37.3675173
심곡초등학교,경기도 부천시 원미구 장말로 309(심곡동),126.77639,37.4918232
중동초등학교,경기도 부천시 원미구 심중로75번길 37(중동),126.76937,37.4899545
심원초등학교,경기도 부천시 원미구 옥산로 66(중동),126.781742,37.4995506
상인초등학교,경기도 부천시 원미구 도약로 61(상동),126.756469,37.5127749
석천초등학교,경기도 부천시 원미구 계남로 29(상동),126.752354,37.5105113
상일초등학교,경기도 부천시 원미구 조마루로 57(상동),126.750488,37.5017051
상미초등학교,경기도 부천시 원미구 상이로 64(상동),126.744565,37.4947121
상원초등학교,경기도 부천시 원미구 부흥로 93(상동),126.753444,37.498182
부천역곡초등학교,경기도 부천시 원미구 역곡로65번길 12(역곡동),126.807763,37.4907267
도당초등학교,경기도 부천시 원미구 삼작로268번길 21(도당동),126.791887,37.519396
부천신흥초등학교,경기도 부천시 원미구 길주로391번길 71(도당동),126.784638,37.506797
상동초등학교,경기도 부천시 원미구 부흥로 70(상동),126.75015,37.4967327
매화초등학교,경기도 안산시 상록구 안산대학로 35(이동),126.862654,37.3059109
이천가산초등학교,경기도 이천시 부발읍 황무로2065번길 112,127.518466,37.2419248
부발초등학교,경기도 이천시 부발읍 무촌로 155,127.488611,37.2866395
신하초등학교,경기도 이천시 부발읍 경충대로2250번길 12,127.478582,37.260806
아미초등학교,경기도 이천시 부발읍 신아로92번길 32,127.490696,37.2583354
장호원초등학교,경기도 이천시 장감로 46,127.627512,37.1158246
대서초등학교,경기도 이천시 장호원읍 서동대로8487번길 23-24,127.575968,37.11321
이황초등학교,경기도 이천시 장호원읍 경충대로 456-20,127.587462,37.1454031
표교초등학교,경기도 이천시 마장면 중부대로609번길 28-1,127.405526,37.2566148
마장초등학교,경기도 이천시 마장면 오천로 130,127.358566,37.2467554
이천매곡초등학교,경기도 이천시 호법면 이섭대천로96번길 8,127.394204,37.2146196
호법초등학교,경기도 이천시 호법면 이섭대천로537번길 8,127.427394,37.2240568
백사초등학교,경기도 이천시 백사면 현방로 55,127.489862,37.3386028
도지초등학교,경기도 이천시 백사면 청백리로 207,127.483074,37.308134
도암초등학교,경기도 이천시 신둔면 증신로 550,127.442196,37.3181314
신둔초등학교,경기도 이천시 신둔면 경충대로3150번길 82-3,127.403414,37.310022
이천사동초등학교,경기도 이천시 대월면 경충대로2003번길 124-87,127.487199,37.2420101
대월초등학교,경기도 이천시 대월면 대평로178번길 48,127.492992,37.2234179
진가초등학교,경기도 이천시 모가면 진상미로 1321-14,127.479445,37.1743741
송곡초등학교,경기도 이천시 모가면 진상미로 1054,127.48391,37.1520996
설성초등학교,경기도 이천시 설성면 진상미로264번길 21-165,127.53755,37.1099399
장천초등학교,경기도 이천시 설성면 설성로 165-25,127.528239,37.1455163
율면초등학교,경기도 이천시 고당로 48,127.542768,37.087855
퇴계원초등학교,경기도 남양주시 퇴계원면 퇴계원로59번길 16,127.141633,37.653515
도제원초등학교,경기도 남양주시 퇴계원면 경춘북로558번길 10-1,127.145768,37.645787
수동초등학교,경기도 남양주시 수동면 비룡로 832,127.323147,37.7118112
조안초등학교,경기도 남양주시 조안면 북한강로229번길 20,127.300479,37.5466064
수동초등학교송천분교장,경기도 남양주시 수동면 비룡로586번길 98,127.334259,37.6948917
장자초등학교,경기도 구리시 장자대로 40(교문동),127.135414,37.5866842
백문초등학교,경기도 구리시 장자대로13번길 12(교문동),127.132781,37.5882147
부양초등학교,경기도 구리시 장자대로 89-2(수택동),127.142021,37.5901023
내양초등학교,경기도 구리시 동구릉로 485(사노동),127.139416,37.6403707
토평초등학교,경기도 구리시 벌말로129번길 17-1(토평동),127.146467,37.5874854
도림초등학교,경기도 구리시 아차산로 431(교문동),127.130445,37.5933786
교문초등학교,경기도 구리시 안골로19번길 16(교문동),127.133667,37.5977363
